course_title,domain,sub_domain,level,duration,paid_free,price,mentor,url
Digital Marketing Specialization,Business,Marketing,Beginner,8,Paid,49,University of Illinois,https://www.coursera.org/specializations/digital-marketing
Project Management Professional,Business,Project Management,Beginner,6,Paid,49,Google,https://www.coursera.org/professional-certificates/google-project-management
Leadership Development,Business,Leadership,Mixed,4,Paid,49,University of Illinois,https://www.coursera.org/specializations/leadership-development
Entrepreneurship Specialization,Business,Entrepreneurship,Mixed,5,Paid,49,Wharton School,https://www.coursera.org/specializations/wharton-entrepreneurship
Financial Accounting,Business,Accounting,Beginner,4,Paid,49,University of Pennsylvania,https://www.coursera.org/learn/wharton-accounting
Operations Management,Business,Operations,Intermediate,3,Paid,49,University of Illinois,https://www.coursera.org/learn/operations-management
Google IT Automation with Python,Information Technology,IT Support,Intermediate,6,Paid,49,Google,https://www.coursera.org/professional-certificates/google-it-automation
Networking Basics,Information Technology,Networking,Beginner,1,Free,0,Cisco,https://www.coursera.org/learn/networking-basics
Google Cloud Professional,Information Technology,Google Cloud,Intermediate,5,Paid,49,Google Cloud,https://www.coursera.org/professional-certificates/google-cloud-digital-leader-training
Linux Administration,Information Technology,Linux,Beginner,4,Paid,49,IBM,https://www.coursera.org/learn/linux-administration
AWS Solutions Architect,Information Technology,AWS,Intermediate,4,Paid,79,Amazon Web Services,https://www.coursera.org/learn/aws-solutions-architect-associate
Learning How to Learn,Personal Development,Productivity,Mixed,1,Free,0,Barbara Oakley,https://www.coursera.org/learn/learning-how-to-learn
Science of Well-Being,Personal Development,Mindfulness,Mixed,2,Free,0,Laurie Santos,https://www.coursera.org/learn/the-science-of-well-being
Career Success Specialization,Personal Development,Career Development,Beginner,6,Paid,49,UC Irvine,https://www.coursera.org/specializations/career-success
Critical Thinking & Problem Solving,Personal Development,Critical Thinking,Beginner,2,Free,0,Rochester Institute,https://www.coursera.org/learn/critical-thinking-problem-solving
COVID-19 Contact Tracing,Health,Public Health,Beginner,1,Free,0,Johns Hopkins,https://www.coursera.org/learn/covid-19-contact-tracing
Everyday Excel Specialization,Health,Healthcare Management,Beginner,3,Paid,49,University of Colorado,https://www.coursera.org/specializations/everyday-excel
The Science of Nutrition,Health,Nutrition,Mixed,2,Free,0,Ludwig Maximilian University,https://www.coursera.org/learn/science-of-nutrition
Mental Health Policy,Health,Mental Health,Beginner,2,Free,0,Johns Hopkins,https://www.coursera.org/learn/mental-health-policy
Introduction to Human Anatomy,Health,Anatomy,Beginner,4,Paid,49,Duke University,https://www.coursera.org/learn/introduction-to-anatomy
Epidemiology Fundamentals,Health,Public Health,Beginner,2,Free,0,Johns Hopkins,https://www.coursera.org/learn/introduction-to-epidemiology
History of Rock,Arts & Humanities,History,Mixed,4,Free,0,University of Rochester,https://www.coursera.org/learn/history-of-rock
Graphic Design Specialization,Arts & Humanities,Design,Beginner,4,Paid,49,California Institute of Arts,https://www.coursera.org/specializations/graphic-design
Introduction to Music Production,Arts & Humanities,Music,Beginner,2,Paid,49,Berklee,https://www.coursera.org/learn/music-production
Creative Writing Specialization,Arts & Humanities,Writing,Mixed,5,Paid,49,Wesleyan University,https://www.coursera.org/specializations/creative-writing
Digital Photography,Arts & Humanities,Photography,Beginner,3,Paid,49,Michigan State,https://www.coursera.org/specializations/photography-basics
Spanish Language B1-B2,Language Learning,Spanish,Intermediate,6,Paid,49,University of California,https://www.coursera.org/learn/learn-spanish
Mandarin Chinese Specialization,Language Learning,Mandarin,Beginner,6,Paid,49,Shanghai Jiao Tong University,https://www.coursera.org/specializations/mandarin-chinese
French for Beginners,Language Learning,French,Beginner,3,Free,0,École Polytechnique,https://www.coursera.org/learn/french-for-beginners
Japanese Language and Culture,Language Learning,Japanese,Beginner,5,Free,0,Duke University,https://www.coursera.org/learn/japanese-language-culture
Linear Algebra for ML,Mathematics,Linear Algebra,Beginner,2,Free,0,Imperial College,https://www.coursera.org/learn/linear-algebra-machine-learning
Probabilistic Graphical Models,Mathematics,Probability,Advanced,4,Paid,49,Daphne Koller,https://www.coursera.org/specializations/probabilistic-graphical-models
Discrete Mathematics,Mathematics,Discrete Math,Beginner,4,Paid,49,UC San Diego,https://www.coursera.org/specializations/discrete-mathematics
Robotics Specialization,Engineering,Robotics,Mixed,6,Paid,49,University of Pennsylvania,https://www.coursera.org/specializations/robotics
Introduction to IoT,Engineering,IoT,Beginner,3,Paid,49,Cisco,https://www.coursera.org/learn/iot
Embedded Systems,Engineering,Embedded Systems,Intermediate,4,Paid,49,University of Colorado,https://www.coursera.org/specializations/embedded-systems-interface-design
Introduction to Machine Learning,Data Science,Machine Learning,Intermediate,2,Paid,49,Coursera,https://www.coursera.org/learn/introduction-to-machine-learning
Foundations of Machine Learning,Data Science,Machine Learning,Advanced,3,Paid,79,Coursera,https://www.coursera.org/learn/foundations-of-machine-learning
Applied Machine Learning for Data Science,Data Science,Machine Learning,Mixed,4,Paid,99,Coursera,https://www.coursera.org/learn/applied-machine-learning-for-data-science
Professional Machine Learning Certification,Data Science,Machine Learning,Beginner,5,Free,0,Coursera,https://www.coursera.org/learn/professional-machine-learning-certification
Mastering Machine Learning,Data Science,Machine Learning,Intermediate,6,Paid,49,Coursera,https://www.coursera.org/learn/mastering-machine-learning
Practical Machine Learning Skills,Data Science,Machine Learning,Advanced,8,Paid,79,Coursera,https://www.coursera.org/learn/practical-machine-learning-skills
Machine Learning for Everyone,Data Science,Machine Learning,Mixed,10,Paid,99,Coursera,https://www.coursera.org/learn/machine-learning-for-everyone
Advanced Machine Learning Techniques,Data Science,Machine Learning,Beginner,1,Free,0,Coursera,https://www.coursera.org/learn/advanced-machine-learning-techniques
Introduction to Machine Learning (Google),Data Science,Machine Learning,Intermediate,2,Paid,49,Google,https://www.coursera.org/learn/introduction-to-machine-learning-google
Foundations of Machine Learning (Google),Data Science,Machine Learning,Advanced,3,Paid,79,Google,https://www.coursera.org/learn/foundations-of-machine-learning-google
